Team, Playoff Percent 
Tampa Bay,100.0%
New Orleans,100.0%
Baltimore,100.0%
Kansas City,100.0%
Green Bay,100.0%
Buffalo,100.0%
LA Rams,100.0%
Seattle,100.0%
Pittsburgh,100.0%
Indianapolis,100.0%
Tennessee,0.0%
San Francisco,0.0%
Arizona,0.0%
Miami,0.0%
Atlanta,100.0%
Chicago,100.0%
Cleveland,0.0%
New England,0.0%
Minnesota,0.0%
Carolina,0.0%
Las Vegas,100.0%
Washington,0.0%
LA Chargers,0.0%
Philadelphia,0.0%
Dallas,0.0%
Houston,0.0%
NY Giants,0.0%
Denver,0.0%
Detroit,0.0%
Cincinnati,0.0%
NY Jets,0.0%
